Produto; Preço ;Tipo;Tecnologia;Família;IR
PR GOLD DESIGN IA 1.50; R$ 10.136 ;Progressivo;Incolor;Linha IA;1.50
PR GOLD DESIGN IA 1.50 BLUE; R$ 10.668 ;Progressivo;Bluecut;Linha IA;1.50
PR GOLD DESIGN IA 1.50 SENSE; R$ 9.348 ;Progressivo;Fotossensível;Linha IA;1.50
PR GOLD DESIGN IA 1.50 TRANSITIONS; R$ 11.788 ;Progressivo;Transitions;Linha IA;1.50
PR GOLD DESIGN IA 1.50 TRANSITIONS AMBAR; R$ 11.788 ;Progressivo;Transitions;Linha IA;1.50
PR GOLD DESIGN IA 1.50 TRANSITIONS AMETHYST; R$ 11.788 ;Progressivo;Transitions;Linha IA;1.50
PR GOLD DESIGN IA 1.50 TRANSITIONS BROWN; R$ 11.788 ;Progressivo;Transitions;Linha IA;1.50
PR GOLD DESIGN IA 1.50 TRANSITIONS EMERALD; R$ 11.788 ;Progressivo;Transitions;Linha IA;1.50
PR GOLD DESIGN IA 1.50 TRANSITIONS GREEN; R$ 11.788 ;Progressivo;Transitions;Linha IA;1.50
PR GOLD DESIGN IA 1.50 TRANSITIONS RUBY; R$ 11.788 ;Progressivo;Transitions;Linha IA;1.50
PR GOLD DESIGN IA 1.50 TRANSITIONS SAPPHIRE; R$ 11.788 ;Progressivo;Transitions;Linha IA;1.50
PR GOLD DESIGN IA 1.50 TRANSITIONS XTRACTIVE 2.0; R$ 11.788 ;Progressivo;Transitions;Linha IA;1.50
PR GOLD DESIGN IA 1.50 POLARIZADO CINZA; R$ 9.674 ;Progressivo;Polarizado;Linha IA;1.50
PR GOLD DESIGN IA 1.50 POLARIZADO G15; R$ 9.674 ;Progressivo;Polarizado;Linha IA;1.50
PR GOLD DESIGN IA 1.50 POLARIZADO MARROM; R$ 9.674 ;Progressivo;Polarizado;Linha IA;1.50
PR GOLD DESIGN IA 1.59; R$ 10.612 ;Progressivo;Incolor;Linha IA;1.59
PR GOLD DESIGN IA 1.59 BLUE; R$ 10.906 ;Progressivo;Bluecut;Linha IA;1.59
PR GOLD DESIGN IA 1.59 SENSE; R$ 11.550 ;Progressivo;Fotossensível;Linha IA;1.59
PR GOLD DESIGN IA 1.59 TRANSITIONS; R$ 11.724 ;Progressivo;Transitions;Linha IA;1.59
PR GOLD DESIGN IA 1.59 TRANSITIONS AMBAR; R$ 11.724 ;Progressivo;Transitions;Linha IA;1.59
PR GOLD DESIGN IA 1.59 TRANSITIONS AMETHYST; R$ 11.724 ;Progressivo;Transitions;Linha IA;1.59
PR GOLD DESIGN IA 1.59 TRANSITIONS BROWN; R$ 11.724 ;Progressivo;Transitions;Linha IA;1.59
PR GOLD DESIGN IA 1.59 TRANSITIONS EMERALD; R$ 11.724 ;Progressivo;Transitions;Linha IA;1.59
PR GOLD DESIGN IA 1.59 TRANSITIONS GREEN; R$ 11.724 ;Progressivo;Transitions;Linha IA;1.59
PR GOLD DESIGN IA 1.59 TRANSITIONS RUBY; R$ 11.724 ;Progressivo;Transitions;Linha IA;1.59
PR GOLD DESIGN IA 1.59 TRANSITIONS SAPPHIRE; R$ 11.724 ;Progressivo;Transitions;Linha IA;1.59
PR GOLD DESIGN IA 1.59 TRANSITIONS XTRACTIVE 2.0; R$ 11.724 ;Progressivo;Transitions;Linha IA;1.59
PR GOLD DESIGN IA 1.59 POLARIZADO CINZA; R$ 10.530 ;Progressivo;Polarizado;Linha IA;1.59
PR GOLD DESIGN IA 1.59 POLARIZADO G15; R$ 10.530 ;Progressivo;Polarizado;Linha IA;1.59
PR GOLD DESIGN IA 1.59 POLARIZADO MARROM; R$ 10.530 ;Progressivo;Polarizado;Linha IA;1.59
PR GOLD DESIGN IA 1.61; R$ 11.186 ;Progressivo;Incolor;Linha IA;1.61
PR GOLD DESIGN IA 1.61 BLUE; R$ 11.354 ;Progressivo;Bluecut;Linha IA;1.61
PR GOLD DESIGN IA 1.61 SENSE; R$ 11.900 ;Progressivo;Fotossensível;Linha IA;1.61
PR GOLD DESIGN IA 1.67; R$ 12.660 ;Progressivo;Incolor;Linha IA;1.67
PR GOLD DESIGN IA 1.67 BLUE; R$ 12.915 ;Progressivo;Bluecut;Linha IA;1.67
PR GOLD DESIGN IA 1.67 TRANSITIONS; R$ 14.535 ;Progressivo;Transitions;Linha IA;1.67
PR GOLD DESIGN IA 1.74; R$ 13.916 ;Progressivo;Incolor;Linha IA;1.74
PR GOLD DESIGN IA 1.74 BLUE; R$ 14.488 ;Progressivo;Bluecut;Linha IA;1.74
PR GOLD DESIGN IA 1.74 TRANSITIONS; R$ 16.024 ;Progressivo;Transitions;Linha IA;1.74
PR PREMIUM HD IA 1.50; R$ 6.563 ;Progressivo;Incolor;Linha IA;1.50
PR PREMIUM HD IA 1.50 BLUE; R$ 6.920 ;Progressivo;Bluecut;Linha IA;1.50
PR PREMIUM HD IA 1.50 SENSE; R$ 7.414 ;Progressivo;Fotossensível;Linha IA;1.50
PR PREMIUM HD IA 1.50 TRANSITIONS; R$ 8.090 ;Progressivo;Transitions;Linha IA;1.50
PR PREMIUM HD IA 1.50 TRANSITIONS AMBAR; R$ 8.090 ;Progressivo;Transitions;Linha IA;1.50
PR PREMIUM HD IA 1.50 TRANSITIONS AMETHYST; R$ 8.090 ;Progressivo;Transitions;Linha IA;1.50
PR PREMIUM HD IA 1.50 TRANSITIONS BROWN; R$ 8.090 ;Progressivo;Transitions;Linha IA;1.50
PR PREMIUM HD IA 1.50 TRANSITIONS EMERALD; R$ 8.090 ;Progressivo;Transitions;Linha IA;1.50
PR PREMIUM HD IA 1.50 TRANSITIONS GREEN; R$ 8.090 ;Progressivo;Transitions;Linha IA;1.50
PR PREMIUM HD IA 1.50 TRANSITIONS RUBY; R$ 8.090 ;Progressivo;Transitions;Linha IA;1.50
PR PREMIUM HD IA 1.50 TRANSITIONS SAPPHIRE; R$ 8.090 ;Progressivo;Transitions;Linha IA;1.50
PR PREMIUM HD IA 1.50 TRANSITIONS XTRACTIVE 2.0; R$ 8.090 ;Progressivo;Transitions;Linha IA;1.50
PR PREMIUM HD IA 1.50 POLARIZADO CINZA; R$ 6.270 ;Progressivo;Polarizado;Linha IA;1.50
PR PREMIUM HD IA 1.50 POLARIZADO G15; R$ 6.270 ;Progressivo;Polarizado;Linha IA;1.50
PR PREMIUM HD IA 1.50 POLARIZADO MARROM; R$ 6.270 ;Progressivo;Polarizado;Linha IA;1.50
PR PREMIUM HD IA 1.59; R$ 6.888 ;Progressivo;Incolor;Linha IA;1.59
PR PREMIUM HD IA 1.59 BLUE; R$ 7.077 ;Progressivo;Bluecut;Linha IA;1.59
PR PREMIUM HD IA 1.59 SENSE; R$ 7.590 ;Progressivo;Fotossensível;Linha IA;1.59
PR PREMIUM HD IA 1.59 TRANSITIONS; R$ 8.417 ;Progressivo;Transitions;Linha IA;1.59
PR PREMIUM HD IA 1.59 TRANSITIONS AMBAR; R$ 8.417 ;Progressivo;Transitions;Linha IA;1.59
PR PREMIUM HD IA 1.59 TRANSITIONS AMETHYST; R$ 8.417 ;Progressivo;Transitions;Linha IA;1.59
PR PREMIUM HD IA 1.59 TRANSITIONS BROWN; R$ 8.417 ;Progressivo;Transitions;Linha IA;1.59
PR PREMIUM HD IA 1.59 TRANSITIONS EMERALD; R$ 8.417 ;Progressivo;Transitions;Linha IA;1.59
PR PREMIUM HD IA 1.59 TRANSITIONS GREEN; R$ 8.417 ;Progressivo;Transitions;Linha IA;1.59
PR PREMIUM HD IA 1.59 TRANSITIONS RUBY; R$ 8.417 ;Progressivo;Transitions;Linha IA;1.59
PR PREMIUM HD IA 1.59 TRANSITIONS SAPPHIRE; R$ 8.417 ;Progressivo;Transitions;Linha IA;1.59
PR PREMIUM HD IA 1.59 TRANSITIONS XTRACTIVE 2.0; R$ 8.417 ;Progressivo;Transitions;Linha IA;1.59
PR PREMIUM HD IA 1.59 POLARIZADO CINZA; R$ 7.011 ;Progressivo;Polarizado;Linha IA;1.59
PR PREMIUM HD IA 1.59 POLARIZADO G15; R$ 7.011 ;Progressivo;Polarizado;Linha IA;1.59
PR PREMIUM HD IA 1.59 POLARIZADO MARROM; R$ 7.011 ;Progressivo;Polarizado;Linha IA;1.59
PR PREMIUM HD IA 1.61; R$ 8.064 ;Progressivo;Incolor;Linha IA;1.61
PR PREMIUM HD IA 1.61 BLUE; R$ 8.184 ;Progressivo;Bluecut;Linha IA;1.61
